OptimizeResult(success=False, status=2, message='The maximum number of generational steps (50000) occurred', ngen=50000, fitness=0.9493890177733981, time=33444.179053, ea_diagnostics=EaDiagnosticsSummary(beneficial_crossover_rate=0.024590561376824117, detrimental_crossover_rate=0.6455395783889432, beneficial_mutation_rate=0.10429214942833746, detrimental_mutation_rate=0.7280400350990865, beneficial_crossover_mutation_rate=0.02208040275123479, detrimental_crossover_mutation_rate=0.7110197375650605))
Generation:  50000
  FITNESS    COMPLEXITY    EQUATION
9.416e-01     37    f(X_0) = -0.021818 + (-0.540340)((0.318961)(X_3) + (exp(X_2))(0.761050 + X_2 + (-1.017050)((0.221489)(X_0) + exp(sqrt(X_2))) + sqrt(X_2) + (X_2)(sqrt(X_2)) - ((-0.918986 + X_1)(((-0.051609)(X_1) + (-0.408111)(X_2))(exp(X_3))))))
9.417e-01     36    f(X_0) = 0.870170 + (0.018934)((-8.976518)(X_3) + (exp(X_2))(-25.700354 + (-7.140741)((-0.906600)(X_0) + exp((X_2)(X_2))) + log((X_2)(X_2)) - ((X_2)(X_2) + (-0.931259 + X_1)(((1.414569)(X_1) + (11.468586)(X_2))(exp(X_3))))))
9.417e-01     35    f(X_0) = 0.870561 + (-0.872067)((0.195243)(X_3) + (exp(X_2))(-0.138653 + (-0.400734)((0.352449)(X_0) + exp(log(X_2))) + cosh(X_2) - ((-0.936560 + X_1)(((-0.030455)(X_1) + (-0.249319)(X_2))(exp(X_3))))))
9.420e-01     34    f(X_0) = 0.779913 + (-0.123809)((1.375780)(X_3) + (exp(X_2))(4.801434 + (0.201067)((-4.957886)(X_0) + exp(exp(X_2))) - ((-0.922555 + X_1)(((-0.211502)(X_1) + (-1.735945)(X_2))(exp(X_3))) + sqrt(X_2))))
9.423e-01     33    f(X_0) = 0.642788 + (0.002044)((-176.281624)(X_3) + (exp(X_2))(-348.505404 + (-96.380568)((0.164606 + X_1)(X_2)) + (106.757865)((0.591283)(X_0) + exp(X_3)) + (X_0)((X_2 - (exp(X_3)))^(-1)) - (X_1)))
9.428e-01     30    f(X_0) = 0.662642 + (-0.063405)((5.491975)(X_3) + (exp(X_2))(12.524579 + X_2 + (3.123371)((-0.261774 + X_1)(X_2)) + X_3 + (-3.273449)((0.612635)(X_0) + exp(X_3)) - (exp(X_3))))
9.429e-01     28    f(X_0) = 0.642788 + (0.002044)((-176.281624 + X_1)(X_3) + (exp(X_2))(-348.505404 + (-96.380568)((0.164606 + X_1)(X_2)) + (106.757865)((0.591283)(X_0) + exp(X_3))))
9.430e-01     27    f(X_0) = 0.312284 + (-0.152414)(X_3 + exp((X_2)(X_2)) + (1.708795)((X_2)(2.577882 + X_1 + log(sqrt(X_2)) - (X_3 + (X_3)(X_3)))) - (X_0 + (X_2)(sinh(X_0))))
9.431e-01     22    f(X_0) = 0.167164 + (-0.181020)((-0.870353 + X_3)((X_0 + (3.517651 + X_1)(1 - (exp(X_2))) - (X_3))(X_3 + cosh(X_3))))
9.436e-01     21    f(X_0) = 0.167164 + (-0.181020)((-0.870353 + X_3)((X_0 + (3.517651 - (X_0))(1 - (exp(X_2))) - (X_3))(X_3 + cosh(X_3))))
9.440e-01     19    f(X_0) = 0.167164 + (-0.181020)((-0.870353 + X_3)((X_0 + (3.517651)(1 - (exp(X_2))) - (X_3))(exp(X_3))))
9.445e-01     18    f(X_0) = 0.160377 + (-0.040862)((-3.362643 + X_3)(X_0 + (3.723488 - (X_0))(1 - (exp(X_2))) - (X_3)))
9.446e-01     17    f(X_0) = -0.358335 + (0.127651)((X_0)(exp(X_2))) + (-0.149270)((3.433850 - (X_3))(-2.033542 + exp(X_2)))
9.448e-01     16    f(X_0) = (0.141670)(-2.312997 + X_0 + (-2.031560 + exp(X_2))(-2.861615 + X_3 - (sqrt(X_2))))
9.450e-01     15    f(X_0) = 0.794923 + (0.124640)(X_2 + (-1.210889)(X_3) + (-4.886188 + X_0)(exp(X_2)))
9.451e-01     14    f(X_0) = (0.129004)(-3.282330 + X_0 + (-3.939940 + X_3)(-2.181815 + exp(X_2)))
9.451e-01     13    f(X_0) = 0.806665 + (0.136016)(X_2 + (-4.561380 + X_0)(exp(X_2)) - (X_3))
9.455e-01     12    f(X_0) = (-0.137183)(-2.414426 + X_2 + X_3 + (exp(X_2))(exp(X_2)) - (X_0))
9.458e-01     11    f(X_0) = (0.506787)(log(-3.913841 + X_3 - (X_0)) - (exp(X_2)))
9.476e-01     10    f(X_0) = 0.490075 + (-0.168451)(X_2 + X_3 + cosh(exp(X_2)))
9.478e-01     9    f(X_0) = (0.168152)(2.329959 - (X_3 + (exp(X_2))(exp(X_2))))
9.495e-01     8    f(X_0) = -0.873683 + sqrt(cosh((X_3)(X_3)) - (X_2))
9.497e-01     7    f(X_0) = -0.927106 + sqrt(cosh(X_3) - (X_2))
9.504e-01     6    f(X_0) = (1.203998)(sqrt(exp(X_2))) - (exp(X_2))
9.521e-01     5    f(X_0) = log(sqrt(1.294780 - (X_2)))
9.580e-01     4    f(X_0) = (0.394392)(0.394392 - (X_2))
9.606e-01     3    f(X_0) = (-0.555554)(X_2)
9.909e-01     1    f(X_0) = 0.134763
