OptimizeResult(success=False, status=2, message='The maximum number of generational steps (50000) occurred', ngen=50000, fitness=0.9578057386809504, time=22423.359692, ea_diagnostics=EaDiagnosticsSummary(beneficial_crossover_rate=0.013672846914462014, detrimental_crossover_rate=0.7046718406158261, beneficial_mutation_rate=0.0824831562237261, detrimental_mutation_rate=0.7712517694957006, beneficial_crossover_mutation_rate=0.015058347307028565, detrimental_crossover_mutation_rate=0.751991923774511))
Generation:  50000
  FITNESS    COMPLEXITY    EQUATION
9.434e-01     42    f(X_0) = (-0.187622)(-3.859606 + (-0.087794)(X_0) + (2)(X_3) + (exp(X_2))(3.487849 + (-1.453764 + (-2.247198)(X_3) + exp(X_1))(1.007508 + (0.000357)((X_2)^(-1)) + (-0.435411)(cosh(X_0)))) - (X_0 + X_2 + exp(X_1 - (X_2 + exp(X_0)))))
9.434e-01     40    f(X_0) = (-0.183774)(-3.916500 + (-0.094189)(X_0) + (2)(X_3) + (exp(X_2))(3.420770 + (-2.584782)(X_3) + (-1.254049 + (2.662947)(X_3) + exp(X_1))(-0.315134 + (0.787015)(cosh(X_0)))) - (X_0 + X_2 + exp(X_1 - (X_2 + exp(X_0)))))
9.435e-01     38    f(X_0) = (-0.188032)(-3.831859 + (-0.079322)((X_0)(X_2)) + (2)(X_3) + (exp(X_2))(3.161749 + (-0.875825 + (-2.300659)(X_3) + exp(X_1))(1.250800 + (-0.677824)(cosh(X_0)))) - (X_0 + X_2 + exp(X_1 - (X_2 + exp(X_0)))))
9.435e-01     37    f(X_0) = (-0.188032)(-3.831859 + (-0.079322)(X_0) + (2)(X_3) + (exp(X_2))(3.161749 + (-0.875825 + (-2.300659)(X_3) + exp(X_1))(1.250800 + (-0.677824)(cosh(X_0)))) - (X_0 + X_2 + exp(X_1 - (X_2 + exp(X_0)))))
9.436e-01     36    f(X_0) = (-0.160953)(-3.653880 + (0.268260)(X_0) + (2)(X_3) + (exp(X_2))(1.344548 + (1.663577 + (-1.815439)(X_3) + exp(X_1))(0.041454 + (0.518165)(cosh(X_2)))) - (X_0 + X_2 + exp(X_1 - (X_2 + exp(X_2)))))
9.438e-01     34    f(X_0) = (-0.117820)(-5.099375 + (-0.003547)(X_0) + (2)(X_3) + (exp(X_2))(3.318656 + (-0.124887 + exp(X_1) - (X_3))(-1.397110 + (1.978303)(cosh(X_2)))) - (X_0 + X_2 + exp(X_1 - (X_2 + exp(X_2)))))
9.438e-01     32    f(X_0) = (-0.116927)((2)((X_2)((0.880711)(X_1 + X_2) - (X_3))) + (40.308634)((X_2)(0.112157 + (-0.022434)(((exp(X_3 - (X_0)))^(-1))((sinh(X_2))^(-1))) + (0.893919)(sinh(X_2)) - (X_2))))
9.440e-01     31    f(X_0) = (-0.041746)(-9.721211 + (7.131528)(X_3) + (exp(X_2))((-2)(X_0) + (-0.004132)((X_1)^(-1)) + (-3.926596)(X_3) + log(X_1) + (-5.698931)(-1.054816 - (sinh(X_2)))))
9.441e-01     26    f(X_0) = (-0.042926)(-9.502528 + (6.905241)(X_3) + (exp(X_2))((-2)(X_0) + (-3.787452)(X_3) + log(X_1) + (-5.509664)(-1.076316 - (sinh(X_2)))))
9.446e-01     25    f(X_0) = (-0.157753)((2)((X_2)(X_1 + X_2 - (X_3))) + (-4.325006)(0.052433 + (0.153197)((exp(X_2))((exp(X_3 - (X_0)))^(-1))) - (X_2)))
9.447e-01     24    f(X_0) = (-0.316029 + (0.074047)(X_3))(-2.599551 + ((-1)((-2.599551)^(-1)))(X_3 + (exp(X_2))(4.982636 + (-0.225353)(log(X_2))) - (X_0 + X_2)))
9.449e-01     23    f(X_0) = (0.127216)(6.009756 + (X_0)(2.154552 + (-1.075796)((exp(X_2))^(-1))) + sqrt(exp(X_2)) + (-4.376787)(sqrt(exp(X_2))) - (X_3 + sinh(exp(X_2))))
9.450e-01     20    f(X_0) = (-0.153279)(-4.409004 + X_3 + ((-9.195210)(exp(X_2)) - ((X_0)(X_1)))(-0.358191 + (0.083632)(sinh(X_0))))
9.451e-01     19    f(X_0) = (-0.153004)(-4.421186 + X_3 + ((-100196.340383)(exp(X_2)) - (X_1))(-0.000033 + (0.000008)(sinh(X_0))))
9.451e-01     17    f(X_0) = (-0.153004)(-4.421186 + X_3 + (-100196.340383)((exp(X_2))(-0.000033 + (0.000008)(sinh(X_0)))))
9.451e-01     14    f(X_0) = (-0.153004)(-4.421186 + X_3 + (3.303695 + (-0.842343)(X_0))(exp(X_2)))
9.452e-01     12    f(X_0) = (-0.139884)(-4.842224 + X_3 + (3.626657 - (X_0))(exp(X_2)))
9.471e-01     11    f(X_0) = (-0.426712)(-1.434053 + (0.347107)(X_3) + exp(sinh(X_2)))
9.472e-01     10    f(X_0) = 0.448391 + (-0.159359)(X_2 + X_3 + cosh(exp(X_2)))
9.481e-01     9    f(X_0) = (0.626009)(log(X_2 - (log(3.688324 + X_0))))
9.500e-01     8    f(X_0) = 0.823091 - (sqrt((-0.345006)(sinh(exp(X_2)))))
9.500e-01     7    f(X_0) = 0.607687 + (-0.426549)(exp(sinh(X_2)))
9.505e-01     6    f(X_0) = (0.610687)(log(-1.304595 + X_2))
9.521e-01     5    f(X_0) = log(sqrt(1.294779 - (X_2)))
9.580e-01     4    f(X_0) = (0.394382)(0.394382 - (X_2))
9.606e-01     3    f(X_0) = (-0.555554)(X_2)
9.909e-01     1    f(X_0) = 0.134763
