OptimizeResult(success=False, status=2, message='The maximum number of generational steps (50000) occurred', ngen=50000, fitness=0.9456499559340181, time=18293.552075, ea_diagnostics=EaDiagnosticsSummary(beneficial_crossover_rate=0.0174901622108497, detrimental_crossover_rate=0.6468437886316061, beneficial_mutation_rate=0.09081659488707082, detrimental_mutation_rate=0.7424432880436198, beneficial_crossover_mutation_rate=0.018044624065452142, detrimental_crossover_mutation_rate=0.713794733983554))
Generation:  50000
  FITNESS    COMPLEXITY    EQUATION
9.446e-01     20    f(X_0) = 0.490474 + (0.140623)(log(-2.662997) + (-2)(X_3) + (-2.662997 - (log(-2.662997)) + X_0 + X_3)(-0.107111 + exp(X_2)))
9.446e-01     19    f(X_0) = 36514227.040294 + (0.140623)(-259660396.245497 + (-2)(X_3) + (-3.642450 + X_0 + X_3)(-0.107111 + exp(X_2)))
9.448e-01     17    f(X_0) = (-0.241410 + (0.058012)(X_0))(X_2 + (0.588417)(-2.884913 + X_3 + cosh(exp(X_2)) - (X_0)))
9.451e-01     15    f(X_0) = (0.129004)(0.657610 + X_0 + (3.939940 - (X_3))(1.181815 - (exp(X_2))) - (X_3))
9.451e-01     14    f(X_0) = 0.676461 + (0.128882)((-1.187165)(X_3) + (-3.922031 + X_0)(exp(X_2)))
9.457e-01     13    f(X_0) = (-0.133700)(-6.033306 + X_3 + (4.595541)(exp(X_2)) - (X_0 + X_2))
9.457e-01     12    f(X_0) = (0.503315)(1.350684 + (0.275709)(X_0 - (X_3)) - (exp(X_2)))
9.472e-01     11    f(X_0) = (-0.156550)(-2.802671 + X_3 + sinh(X_2) + cosh(exp(X_2)))
9.472e-01     10    f(X_0) = (-0.159359)(-2.813724 + X_2 + X_3 + cosh(exp(X_2)))
9.486e-01     9    f(X_0) = (-0.101853)(-4.945785 + X_3 + exp(exp(X_2)))
9.496e-01     7    f(X_0) = -0.914048 + sqrt(X_2 - (cosh(X_3)))
9.505e-01     6    f(X_0) = (0.610687)(log(-1.304595 + X_2))
9.521e-01     5    f(X_0) = log(sqrt(1.294777 - (X_2)))
9.580e-01     4    f(X_0) = (-0.394392)(-0.394392 + X_2)
9.606e-01     3    f(X_0) = (-0.555554)(X_2)
9.909e-01     1    f(X_0) = 0.134763
